scanname,Scan008
1305.856689,546
1307.5634769999999,497
1309.2695309999999,511
1310.974487,514
1312.678467,476
1314.3813479999999,486
1316.08313,503
1317.784058,507
1319.483643,489
1321.182495,481
1322.880249,531
1324.5767820000001,509
1326.272461,514
1327.9672849999999,518
1329.6606449999999,485
1331.353394,479
1333.0447999999999,477
1334.7353519999999,497
1336.4248050000001,468
1338.1132809999999,497
1339.8007809999999,518
1341.487183,477
1343.172607,469
1344.8569339999999,493
1346.540283,468
1348.222534,477
1349.9039310000001,474
1351.5842290000001,497
1353.263428,485
1354.9418949999999,472
1356.6188959999999,513
1358.295288,472
1359.9704589999999,479
1361.6446530000001,510
1363.317749,495
1364.9898679999999,494
1366.6610109999999,511
1368.3312989999999,459
1370.000366,510
1371.668457,490
1373.335693,460
1375.001831,441
1376.66687,451
1378.330933,468
1379.9941409999999,448
1381.6561280000001,465
1383.317139,473
1384.9772949999999,425
1386.6362300000001,468
1388.2944339999999,465
1389.9514160000001,450
1391.607422,470
1393.2624510000001,434
1394.916504,425
1396.5695800000001,478
1398.2216800000001,483
1399.8726810000001,439
1401.522827,443
1403.171875,445
1404.819702,442
1406.466919,447
1408.1129149999999,478
1409.7581789999999,409
1411.4023440000001,447
1413.045288,460
1414.6873780000001,419
1416.328491,434
1417.9685059999999,443
1419.6076660000001,481
1421.2459719999999,448
1422.8829350000001,446
1424.5192870000001,424
1426.154297,425
1427.788452,450
1429.4217530000001,495
1431.0539550000001,417
1432.6851810000001,472
1434.3154300000001,465
1435.944702,516
1437.572876,474
1439.2001949999999,518
1440.826538,487
1442.4516599999999,485
1444.076294,499
1445.6994629999999,469
1447.321899,488
1448.9433590000001,473
1450.5638429999999,472
1452.1832280000001,489
1453.80188,473
1455.419189,481
1457.0357670000001,487
1458.651245,492
1460.2658690000001,466
1461.879639,455
1463.4920649999999,478
1465.104004,410
1466.7146,460
1468.324341,424
1469.9331050000001,455
1471.5407709999999,479
1473.1477050000001,396
1474.7535399999999,380
1476.3583980000001,415
1477.9624020000001,444
1479.565308,434
1481.167236,412
1482.768433,455
1484.36853,421
1485.967529,411
1487.5656739999999,405
1489.162842,390
1490.759155,409
1492.354126,414
1493.948486,365
1495.5419919999999,388
1497.134399,443
1498.7257079999999,419
1500.3161620000001,392
1501.9057620000001,406
1503.494385,385
1505.081909,394
1506.668457,414
1508.25415,397
1509.8389890000001,405
1511.4228519999999,413
1513.005615,427
1514.5874020000001,419
1516.1683350000001,374
1517.7482910000001,403
1519.327393,439
1520.9056399999999,362
1522.4826660000001,426
1524.0588379999999,406
1525.634033,391
1527.2086179999999,393
1528.781616,360
1530.354126,348
1531.9257809999999,397
1533.4960940000001,383
1535.0656739999999,390
1536.6345209999999,384
1538.2021480000001,384
1539.7687989999999,370
1541.334595,354
1542.8995359999999,401
1544.4632570000001,364
1546.0263669999999,372
1547.588379,372
1549.149658,347
1550.709717,369
1552.269043,367
1553.8272710000001,440
1555.3847659999999,395
1556.9410399999999,330
1558.4964600000001,379
1560.0512699999999,361
1561.604736,390
1563.157471,373
1564.709351,372
1566.260254,363
1567.8100589999999,323
1569.359009,368
1570.9073490000001,344
1572.4542240000001,392
1574.0004879999999,390
1575.5457759999999,346
1577.0902100000001,380
1578.633423,364
1580.176025,356
1581.7176509999999,349
1583.2583010000001,348
1584.798096,382
1586.3367920000001,357
1587.8748780000001,387
1589.411499,367
1590.9476320000001,348
1592.4829099999999,375
1594.017212,352
1595.550293,370
1597.0826420000001,362
1598.6142580000001,371
1600.1446530000001,390
1601.6743160000001,327
1603.2030030000001,319
1604.730957,387
1606.257568,346
1607.7836910000001,331
1609.3088379999999,335
1610.8330080000001,338
1612.355957,323
1613.878418,349
1615.3999020000001,342
1616.9201660000001,291
1618.4398189999999,341
1619.9586179999999,347
1621.476318,311
1622.993164,309
1624.509155,308
1626.0241699999999,304
1627.5379640000001,314
1629.0513920000001,348
1630.5638429999999,307
1632.075317,276
1633.5855710000001,304
1635.095337,297
1636.604126,275
1638.111938,318
1639.618774,304
1641.1247559999999,302
1642.630005,291
1644.134033,310
1645.6374510000001,303
1647.1397710000001,290
1648.6412350000001,300
1650.1416019999999,322
1651.6414789999999,323
1653.1403809999999,318
1654.6383060000001,313
1656.135254,296
1657.63147,309
1659.126831,314
1660.6210940000001,321
1662.11438,287
1663.6070560000001,324
1665.098755,285
1666.5894780000001,291
1668.079346,307
1669.5683590000001,281
1671.0563959999999,345
1672.5435789999999,266
1674.030029,278
1675.515625,261
1676.9998780000001,290
1678.4837649999999,300
1679.966553,296
1681.448486,248
1682.9291989999999,281
1684.4095460000001,300
1685.888794,280
1687.366943,295
1688.8446039999999,303
1690.3211670000001,250
1691.7969969999999,260
1693.2717290000001,283
1694.7456050000001,275
1696.21875,310
1697.6907960000001,292
1699.1621090000001,290
1700.6326899999999,312
1702.102173,287
1703.5706789999999,295
1705.0385739999999,311
1706.505615,272
1707.971802,284
1709.4368899999999,257
1710.9011230000001,258
1712.364624,251
1713.8270259999999,239
1715.288818,284
1716.7497559999999,293
1718.209717,267
1719.6685789999999,283
1721.126831,283
1722.5842290000001,287
1724.040405,254
1725.496216,300
1726.950928,265
1728.4049070000001,266
1729.8576660000001,269
1731.309937,228
1732.7612300000001,300
1734.2117920000001,259
1735.6610109999999,258
1737.109741,302
1738.5576169999999,248
1740.0042719999999,273
1741.450562,279
1742.895874,280
1744.3402100000001,237
1745.7835689999999,272
1747.2261960000001,250
1748.668091,254
1750.1088870000001,225
1751.548828,252
1752.988159,265
1754.426514,280
1755.8637699999999,265
1757.3004149999999,238
1758.7364500000001,237
1760.1712649999999,241
1761.605225,270
1763.038452,238
1764.470947,211
1765.9022219999999,245
1767.3328859999999,226
1768.762817,227
1770.19165,230
1771.619629,244
1773.0469969999999,243
1774.473389,268
1775.8988039999999,241
1777.3233640000001,208
1778.7475589999999,236
1780.170288,238
1781.592529,228
1783.013794,236
1784.4343260000001,220
1785.854004,235
1787.2725829999999,212
1788.6906739999999,227
1790.1076660000001,213
1791.523682,219
1792.9392089999999,249
1794.3538820000001,228
1795.767578,250
1797.1801760000001,263
1798.592163,238
1800.003418,209
1801.4136960000001,200
1802.8232419999999,200
1804.231689,238
1805.6397710000001,200
1807.046509,216
1808.452759,195
1809.858154,216
1811.2626949999999,195
1812.6660159999999,253
1814.06897,256
1815.470947,217
1816.871948,199
1818.272095,222
1819.6717530000001,207
1821.0703129999999,202
1822.4678960000001,218
1823.86499,262
1825.2611079999999,193
1826.65625,213
1828.0507809999999,201
1829.4445800000001,189
1830.8374020000001,191
1832.22937,214
1833.620361,181
1835.0107419999999,194
1836.400269,190
1837.7886960000001,211
1839.1766359999999,202
1840.5638429999999,210
1841.9498289999999,205
1843.3350829999999,163
1844.7198490000001,222
1846.103394,180
1847.486206,192
1848.868408,202
1850.249634,195
1851.6298830000001,189
1853.0095209999999,196
1854.388428,188
1855.7664789999999,175
1857.143311,174
1858.5196530000001,194
1859.8953859999999,192
1861.2701420000001,165
1862.643677,201
1864.016846,195
1865.3891599999999,208
1866.760254,185
1868.130981,202
1869.5008539999999,166
1870.869751,193
1872.237793,213
1873.605225,186
1874.9719239999999,177
1876.3376459999999,220
1877.7022710000001,183
1879.0664059999999,185
1880.4298100000001,196
1881.7921140000001,173
1883.1538089999999,183
1884.5146480000001,169
1885.8747559999999,174
1887.2338870000001,199
1888.5922849999999,181
1889.9499510000001,159
1891.3063959999999,207
1892.662476,205
1894.017822,181
1895.372192,202
1896.725586,174
